Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD
69.0,89.18,107.39,115.27,105.45
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
89.14,113.48,135.76,142.09,126.11
87.95318352059924,113.35315543071162,134.97180711610488,142.09,123.7597097378277
89.14,113.48,135.76,142.09,126.11
89.14,113.48,135.76,142.09,126.11
89.14,113.48,135.76,142.09,126.11
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
126.17,155.43,183.7,193.94,160.76
126.17,155.43,183.7,193.94,160.76
126.17,155.43,183.7,193.94,160.76
126.17,155.43,183.7,193.94,160.76
126.17,155.43,183.7,193.94,160.76
152.61,185.6,216.97,229.89,175.32
152.61,185.6,216.97,229.89,175.32
152.61,185.6,216.97,229.89,175.32
152.61,185.6,216.97,229.89,175.32
152.61,185.6,216.97,229.89,175.32
158.45,192.5,224.43,239.82,217.15
158.45,192.5,224.43,239.82,217.15
158.45,192.5,224.43,239.82,217.15
158.45,192.5,224.43,239.82,217.15
158.45,192.5,224.43,239.82,217.15
132.88,167.09,191.93,212.47,196.52
132.88,167.09,191.93,212.47,196.52
132.88,167.09,191.93,212.47,196.52
132.88,167.09,191.93,212.47,196.52
132.88,167.09,191.93,212.47,196.52
103.51,130.91,155.6,175.77,172.48
103.51,130.91,155.6,175.77,172.48
103.51,130.91,155.6,175.77,172.48
103.51,130.91,155.6,175.77,172.48
103.51,130.91,155.6,175.77,172.48
84.19,107.17,122.99,136.78,140.33
84.19,107.17,122.99,136.78,140.33
84.19,107.17,122.99,136.78,140.33
84.19,107.17,122.99,136.78,140.33
84.19,107.17,122.99,136.78,140.33
86.7,107.14,127.16,137.69,132.75
86.7,107.14,127.16,137.69,132.75
86.7,107.14,127.16,137.69,132.75
86.7,107.14,127.16,137.69,132.75
86.7,107.14,127.16,137.69,132.75
81.9,104.56,122.32,131.43,124.36
81.9,104.56,122.32,131.43,124.36
81.9,104.56,122.32,131.43,124.36
81.9,104.56,122.32,131.43,124.36
81.9,104.56,122.32,131.43,124.36
101.1,129.26,148.17,158.3,135.53
101.1,129.26,148.17,158.3,135.53
101.1,129.26,148.17,158.3,135.53
101.1,129.26,148.17,158.3,135.53
101.1,129.26,148.17,158.3,135.53
77.98,99.91,120.15,128.44,123.95
77.98,99.91,120.15,128.44,123.95
77.98,99.91,120.15,128.44,123.95
77.98,99.91,120.15,128.44,123.95
77.98,99.91,120.15,128.44,123.95
83.41,106.41,126.08,132.67,126.0
83.41,106.41,126.08,132.67,126.0
83.41,106.41,126.08,132.67,126.0
83.41,106.41,126.08,132.67,126.0
83.41,106.41,126.08,132.67,126.0
91.4,115.27,135.33,145.76,123.63
91.4,115.27,135.33,145.76,123.63
91.4,115.27,135.33,145.76,123.63
91.4,115.27,135.33,145.76,123.63
91.4,115.27,135.33,145.76,123.63
90.92,115.6,138.08,147.24,130.54
87.95318352059924,113.35315543071162,134.97180711610488,147.24,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,147.24,123.7597097378277
90.92,115.6,138.08,147.24,130.54
90.92,115.6,138.08,147.24,130.54
75.54,97.28,115.55,125.65,125.77
87.95318352059924,113.35315543071162,134.97180711610488,125.65,123.7597097378277
75.54,97.28,115.55,125.65,125.77
75.54,97.28,115.55,125.65,125.77
75.54,97.28,115.55,125.65,125.77
87.11,110.04,128.79,143.52,138.8
87.11,110.04,128.79,143.52,138.8
87.11,110.04,128.79,143.52,138.8
87.11,110.04,128.79,143.52,138.8
87.11,110.04,128.79,143.52,138.8
96.51,126.32,139.82,162.57,147.83
96.51,126.32,139.82,162.57,147.83
96.51,126.32,139.82,162.57,147.83
96.51,126.32,139.82,162.57,147.83
96.51,126.32,139.82,162.57,147.83
114.04,138.43,158.47,182.55,159.43
114.04,138.43,158.47,182.55,159.43
114.04,138.43,158.47,182.55,159.43
114.04,138.43,158.47,182.55,159.43
114.04,138.43,158.47,182.55,159.43
125.83,148.91,173.55,201.3,165.91
125.83,148.91,173.55,201.3,165.91
125.83,148.91,173.55,201.3,165.91
125.83,148.91,173.55,201.3,165.91
125.83,148.91,173.55,201.3,165.91
109.0,138.89,153.16,183.78,169.78
109.0,138.89,153.16,183.78,169.78
109.0,138.89,153.16,183.78,169.78
109.0,138.89,153.16,183.78,169.78
109.0,138.89,153.16,183.78,169.78
124.66,160.72,180.32,201.98,180.38
124.66,160.72,180.32,201.98,180.38
124.66,160.72,180.32,201.98,180.38
124.66,160.72,180.32,201.98,180.38
124.66,160.72,180.32,201.98,180.38
128.49,162.33,181.9,211.52,183.03
128.49,162.33,181.9,211.52,183.03
128.49,162.33,181.9,211.52,183.03
128.49,162.33,181.9,211.52,183.03
128.49,162.33,181.9,211.52,183.03
151.27,189.0,216.37,228.31,203.78
151.27,189.0,216.37,228.31,203.78
151.27,189.0,216.37,228.31,203.78
151.27,189.0,216.37,228.31,203.78
151.27,189.0,216.37,228.31,203.78
251.7,306.76,346.85,359.9,271.7
251.7,306.76,346.85,359.9,271.7
251.7,306.76,346.85,359.9,271.7
251.7,306.76,346.85,359.9,271.7
251.7,306.76,346.85,359.9,271.7
301.09,360.24,412.35,428.22,312.89
301.09,360.24,412.35,428.22,312.89
301.09,360.24,412.35,428.22,312.89
301.09,360.24,412.35,428.22,312.89
301.09,360.24,412.35,428.22,312.89
183.2,226.55,260.51,294.8,254.6
183.2,226.55,260.51,294.8,254.6
183.2,226.55,260.51,294.8,254.6
183.2,226.55,260.51,294.8,254.6
183.2,226.55,260.51,294.8,254.6
181.59,221.54,262.71,263.13,233.97
181.59,221.54,262.71,263.13,233.97
181.59,221.54,262.71,263.13,233.97
181.59,221.54,262.71,263.13,233.97
181.59,221.54,262.71,263.13,233.97
167.18,212.22,252.38,259.76,223.29
167.18,212.22,252.38,259.76,223.29
167.18,212.22,252.38,259.76,223.29
167.18,212.22,252.38,259.76,223.29
167.18,212.22,252.38,259.76,223.29
192.7,234.24,275.9,281.74,232.45
192.7,234.24,275.9,281.74,232.45
192.7,234.24,275.9,281.74,232.45
192.7,234.24,275.9,281.74,232.45
215.98,265.25,309.88,326.69,237.11
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,326.69,123.7597097378277
215.98,265.25,309.88,326.69,237.11
215.98,265.25,309.88,326.69,237.11
215.98,265.25,309.88,326.69,237.11
219.92,270.96,312.47,326.31,257.5
219.92,270.96,312.47,326.31,257.5
